0	-25.350084177231388	-20.527713471640386
1	-25.350084177231388	-21.933472505970624
2	-25.945195332343673	-23.16208667495625
3	-25.945195332343673	-23.305559924577267
4	-25.945195332343673	-23.6235263841494
5	-26.300326828802405	-23.73208416025887
6	-26.300326828802405	-23.977985395151016
7	-26.300326828802405	-24.088461891651594
8	-26.300326828802405	-24.228623607485797
9	-26.300326828802405	-24.228623607485797
10	-26.300326828802405	-24.240408720505574
11	-26.300326828802405	-24.470777579872998
12	-26.300326828802405	-24.49429249105594
13	-26.300326828802405	-24.544885513627612
14	-26.300326828802405	-24.630663884361372
15	-26.300326828802405	-24.790807518150807
16	-26.300326828802405	-24.970965229025712
17	-26.300326828802405	-25.015774626048874
18	-26.300326828802405	-25.028761789625854
19	-26.300326828802405	-25.042849549058538
20	-26.300326828802405	-25.042849549058538
21	-26.300326828802405	-25.071758973768492
22	-26.300326828802405	-25.071758973768492
23	-26.300326828802405	-25.210490864326346
24	-26.300326828802405	-25.210490864326346
25	-26.300326828802405	-25.254042222127
26	-26.300326828802405	-25.297009867767645
27	-26.300326828802405	-25.31658651746603
28	-26.300326828802405	-25.31658651746603
29	-26.367006838144547	-25.33767709275607
30	-26.367006838144547	-25.33767709275607
31	-26.75962965079607	-25.44636925341453
32	-26.839753100530714	-25.489048958221023
33	-26.839753100530714	-25.489048958221023
34	-26.839753100530714	-25.53620703789392
35	-26.839753100530714	-25.53620703789392
36	-27.114381916835875	-25.573575791828482
37	-27.114381916835875	-25.576063659249932
38	-27.114381916835875	-25.576063659249932
39	-27.114381916835875	-25.577368154491328
40	-27.114381916835875	-25.64989662213185
41	-27.114381916835875	-25.7421931177011
42	-27.114381916835875	-25.782895872102774
43	-27.114381916835875	-25.80491975616001
44	-27.114381916835875	-25.80491975616001
45	-27.114381916835875	-25.80491975616001
46	-27.114381916835875	-25.80491975616001
47	-27.114381916835875	-25.80491975616001
48	-27.114381916835875	-25.80491975616001
49	-27.114381916835875	-25.851585755692902
50	-27.114381916835875	-25.851585755692902
51	-27.114381916835875	-25.851585755692902
52	-27.114381916835875	-25.868923176743635
53	-27.114381916835875	-25.882737511845328
54	-27.114381916835875	-25.882737511845328
55	-27.114381916835875	-25.882737511845328
56	-27.114381916835875	-25.915858452990328
57	-27.114381916835875	-25.928374086105368
58	-27.114381916835875	-25.928374086105368
59	-27.114381916835875	-25.928374086105368
60	-27.114381916835875	-25.928374086105368
61	-27.114381916835875	-25.928374086105368
62	-27.114381916835875	-25.928374086105368
63	-27.114381916835875	-25.928374086105368
64	-27.114381916835875	-25.928374086105368
65	-27.114381916835875	-25.928374086105368
66	-27.114381916835875	-25.928374086105368
67	-27.114381916835875	-25.928374086105368
68	-27.114381916835875	-25.928374086105368
69	-27.114381916835875	-25.931638055329024
70	-27.114381916835875	-26.011664518186365
71	-27.114381916835875	-26.011664518186365
72	-27.114381916835875	-26.011664518186365
73	-27.114381916835875	-26.023050169526847
74	-27.114381916835875	-26.023050169526847
75	-27.114381916835875	-26.023050169526847
76	-27.114381916835875	-26.023050169526847
77	-27.114381916835875	-26.023050169526847
78	-27.114381916835875	-26.023050169526847
79	-27.114381916835875	-26.023050169526847
80	-27.114381916835875	-26.023050169526847
81	-27.114381916835875	-26.023050169526847
82	-27.114381916835875	-26.08057827443638
83	-27.114381916835875	-26.08057827443638
84	-27.114381916835875	-26.08057827443638
85	-27.114381916835875	-26.11033383219199
86	-27.114381916835875	-26.11033383219199
87	-27.114381916835875	-26.11033383219199
88	-27.114381916835875	-26.11033383219199
89	-27.114381916835875	-26.11033383219199
90	-27.114381916835875	-26.11033383219199
91	-27.114381916835875	-26.11033383219199
92	-27.114381916835875	-26.11033383219199
93	-27.114381916835875	-26.11033383219199
94	-27.114381916835875	-26.11033383219199
95	-27.114381916835875	-26.11033383219199
96	-27.114381916835875	-26.11033383219199
97	-27.114381916835875	-26.11033383219199
98	-27.114381916835875	-26.140089389947605
99	-27.114381916835875	-26.140089389947605
